PROGRAM,START DATE,START TIME,END DATE,END TIME,LANGUAGE,SYNOPSIS
Visitor's experience,27/07/2024,09:00,27/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,27/07/2024,09:30,27/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,27/07/2024,10:00,27/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,27/07/2024,12:00,27/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,27/07/2024,14:00,27/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,27/07/2024,14:30,27/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,27/07/2024,16:00,27/07/2024,18:00,"English, Luganda",Peace  tv show
News,27/07/2024,18:00,27/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,27/07/2024,18:30,27/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,27/07/2024,19:30,28/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,28/07/2024,03:00,28/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,28/07/2024,06:00,28/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,28/07/2024,09:00,28/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,28/07/2024,09:30,28/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,28/07/2024,10:00,28/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,28/07/2024,12:00,28/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,28/07/2024,14:00,28/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,28/07/2024,14:30,28/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,28/07/2024,16:00,28/07/2024,18:00,"English, Luganda",Peace  tv show
News,28/07/2024,18:00,28/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,28/07/2024,18:30,28/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,28/07/2024,19:30,29/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,29/07/2024,03:00,29/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,29/07/2024,06:00,29/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,29/07/2024,09:00,29/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,29/07/2024,09:30,29/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,29/07/2024,10:00,29/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,29/07/2024,12:00,29/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,29/07/2024,14:00,29/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,29/07/2024,14:30,29/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,29/07/2024,16:00,29/07/2024,18:00,"English, Luganda",Peace  tv show
News,29/07/2024,18:00,29/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,29/07/2024,18:30,29/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,29/07/2024,19:30,30/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,30/07/2024,03:00,30/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,30/07/2024,06:00,30/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,30/07/2024,09:00,30/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,30/07/2024,09:30,30/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,30/07/2024,10:00,30/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Prophecy Confirmation,30/07/2024,12:00,30/07/2024,14:00,"English, Luganda",Prophecy
Movie,30/07/2024,14:00,30/07/2024,14:30,"English, Luganda",Block busters movie
Praise experience,30/07/2024,14:30,30/07/2024,16:00,"English, Luganda",Praise and worship show
Cartoon,30/07/2024,16:00,30/07/2024,18:00,"English, Luganda",Kids Entertainment
Peace centre,30/07/2024,18:00,30/07/2024,18:30,"English, Luganda",Peace  tv show
News,30/07/2024,18:30,30/07/2024,19:30,"English, Luganda",News bulletin
Food for the soul,30/07/2024,19:30,31/07/2024,03:00,"English, Luganda",Spiritual tv show
Movie,31/07/2024,03:00,31/07/2024,06:00,"English, Luganda",Block busters movie
We give glory,31/07/2024,06:00,31/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,31/07/2024,09:00,31/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,31/07/2024,09:30,31/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,31/07/2024,10:00,31/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,31/07/2024,12:00,31/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,31/07/2024,14:00,31/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,31/07/2024,14:30,31/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,31/07/2024,16:00,31/07/2024,18:00,"English, Luganda",Peace  tv show
News,31/07/2024,18:00,31/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,31/07/2024,18:30,31/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,31/07/2024,19:30,01/08/2024,03:00,"English, Luganda",Block busters movie
