PROGRAM,START DATE,START TIME,END DATE,END TIME,LANGUAGE,SYNOPSIS
Morning glory,07/07/2024,03:00,07/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,07/07/2024,06:00,07/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,07/07/2024,09:00,07/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,07/07/2024,09:30,07/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,07/07/2024,10:00,07/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,07/07/2024,12:00,07/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,07/07/2024,14:00,07/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,07/07/2024,14:30,07/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,07/07/2024,16:00,07/07/2024,18:00,"English, Luganda",Peace  tv show
News,07/07/2024,18:00,07/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,07/07/2024,18:30,07/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,07/07/2024,19:30,08/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,08/07/2024,03:00,08/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,08/07/2024,06:00,08/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,08/07/2024,09:00,08/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,08/07/2024,09:30,08/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,08/07/2024,10:00,08/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,08/07/2024,12:00,08/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,08/07/2024,14:00,08/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,08/07/2024,14:30,08/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,08/07/2024,16:00,08/07/2024,18:00,"English, Luganda",Peace  tv show
News,08/07/2024,18:00,08/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,08/07/2024,18:30,08/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,08/07/2024,19:30,09/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,09/07/2024,03:00,09/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,09/07/2024,06:00,09/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,09/07/2024,09:00,09/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,09/07/2024,09:30,09/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,09/07/2024,10:00,09/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Prophecy Confirmation,09/07/2024,12:00,09/07/2024,14:00,"English, Luganda",Prophecy
Movie,09/07/2024,14:00,09/07/2024,14:30,"English, Luganda",Block busters movie
Praise experience,09/07/2024,14:30,09/07/2024,16:00,"English, Luganda",Praise and worship show
Cartoon,09/07/2024,16:00,09/07/2024,18:00,"English, Luganda",Kids Entertainment
Peace centre,09/07/2024,18:00,09/07/2024,18:30,"English, Luganda",Peace  tv show
News,09/07/2024,18:30,09/07/2024,19:30,"English, Luganda",News bulletin
Food for the soul,09/07/2024,19:30,10/07/2024,03:00,"English, Luganda",Spiritual tv show
Movie,10/07/2024,03:00,10/07/2024,06:00,"English, Luganda",Block busters movie
Christ Fm Studio,10/07/2024,06:00,10/07/2024,07:00,"English, Luganda",A Radio Broadcast
Testimonies and Prophecies,10/07/2024,07:00,10/07/2024,07:30,"English, Luganda",Testimonies and Prophecies
Stay Healthy,10/07/2024,07:30,10/07/2024,08:00,"English, Luganda",Health based tv show
Testimonies and Prophecies,10/07/2024,08:00,10/07/2024,08:30,"English, Luganda",Testimonies and Prophecies
Documentary,10/07/2024,08:30,10/07/2024,10:00,"English, Luganda",Documentary
